customer_state,average_delivery_time,average_delivery_delay,late_delivery_rate,average_freight_cost,average_order_value,order_count,priority_score
AL,24.489141810868244,-8.057348046231242,24.121779859484782,0.08755774198814904,220.5444730679157,427,3.42311104489423
MA,21.648666666666667,-9.225053761574074,20.375,0.09395799770552622,184.7544375,800,3.141716897440851
PI,19.38470980720204,-10.852159947949861,15.487571701720837,0.09547716764807898,201.1055258126195,523,2.689183348126848
SE,21.467353209876542,-9.32573388888889,16.266666666666662,0.08927253791577161,187.43768,375,2.6866991661656985
PB,20.589148298255594,-12.37158282375806,11.262798634812288,0.10518377616626441,235.21936860068257,586,2.403051500412787
RR,28.23101147342995,-17.618375100644123,10.869565217391308,0.10517487667999623,196.5113043478261,46,2.3650003785424114
TO,17.4483853046595,-11.6503214979092,12.25806451612903,0.09137627479511937,193.57216129032258,310,2.3262720599471747
PA,23.7540533747101,-13.569359714315834,12.42884250474383,0.08696790978991513,201.16088235294117,1054,2.287577235641412
